"recording_id","recording_title","recording_alternate_titles","recording_artist_credit","recording_artist_ids","isrc","duration_iso8601","duration_ms","release_id","release_title","release_artist_credit","upc","release_date","release_status","track_number","record_label","musicbrainz_release_id","reference_urls"
"https://aliktarraf.com/#catalog-trk-0068","Мы","[""We (Мы)""]","Alik Tarraf","[""https://aliktarraf.com/#alik-tarraf""]","QZZ792549429","PT4M44.96S","284960","https://aliktarraf.com/#catalog-sng-023-digital-release","Мы","Alik Tarraf","199732876912","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/we-%D0%BC%D1%8B/1835161145?i=1835161146""]"
"https://aliktarraf.com/#catalog-trk-0069","Ну Нина","[""Nina (Ну Нина)""]","Alik Tarraf","[""https://aliktarraf.com/#alik-tarraf""]","QZZ792546059","PT2M16.64S","136640","https://aliktarraf.com/#catalog-sng-024-digital-release","Ну Нина","Alik Tarraf","199732891014","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/nina-%D0%BD%D1%83-%D0%BD%D0%B8%D0%BD%D0%B0/1835099016?i=1835099017""]"
"https://aliktarraf.com/#catalog-trk-0070","СЛОЖНО","[""X (СЛОЖНО)""]","Alik Tarraf","[""https://aliktarraf.com/#alik-tarraf""]","QZZ792534569","PT5M31.96S","331960","https://aliktarraf.com/#catalog-sng-025-digital-release","СЛОЖНО","Alik Tarraf","199732962493","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/x-%D1%81%D0%BB%D0%BE%D0%B6%D0%BD%D0%BE/1835056703?i=1835056704""]"
"https://aliktarraf.com/#catalog-trk-0071","Ты Я Не Мы","[]","Alik Tarraf","[""https://aliktarraf.com/#alik-tarraf""]","QZZ792568528","PT4M44.6S","284600","https://aliktarraf.com/#catalog-sng-026-digital-release","Ты Я Не Мы","Alik Tarraf","199732794551","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/%D1%82%D1%8B-%D1%8F-%D0%BD%D0%B5-%D0%BC%D1%8B/1835205676?i=1835205677""]"
"https://aliktarraf.com/#catalog-trk-0072","ملاكي و شيطاني","[""ملاكي وشيطاني""]","Alik Tarraf","[""https://aliktarraf.com/#alik-tarraf""]","QZZ792576554","PT4M43.563S","283563","https://aliktarraf.com/#catalog-sng-027-digital-release","ملاكي و شيطاني","Alik Tarraf","199732756191","2025-08-22","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/%D9%85%D9%84%D8%A7%D9%83%D9%8A-%D9%88%D8%B4%D9%8A%D8%B7%D8%A7%D9%86%D9%8A/1835165975?i=1835165976""]"
"https://aliktarraf.com/#catalog-trk-0073","PROSTO [Remix]","[""PROSTO (feat. Marina Tarraf) [Remix]""]","Alik Tarraf (feat. Marina Tarraf)","[""https://aliktarraf.com/#alik-tarraf""]","QZZ7K2583227","PT3M13S","193000","https://aliktarraf.com/#catalog-sng-028-digital-release","PROSTO [Remix]","Alik Tarraf (feat. Marina Tarraf)","199732478543","2025-08-23","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/prosto-feat-marina-tarraf-remix/1835629438?i=1835629440""]"
"https://aliktarraf.com/#catalog-trk-0074","TARRAF STORY","[]","Alik Tarraf","[""https://aliktarraf.com/#alik-tarraf""]","QZZ7K2531050","PT4M","240000","https://aliktarraf.com/#catalog-sng-029-digital-release","TARRAF STORY","Alik Tarraf","199732477690","2025-08-23","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/tarraf-story/1835378964?i=1835378965""]"
"https://aliktarraf.com/#catalog-trk-0075","CHOOSE YOU","[]","Alik Tarraf","[""https://aliktarraf.com/#alik-tarraf""]","QZZ7K2539567","PT2M52.36S","172360","https://aliktarraf.com/#catalog-sng-030-digital-release","CHOOSE YOU","Alik Tarraf","199732435249","2025-08-24","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/choose-you/1835344971?i=1835344972""]"
"https://aliktarraf.com/#catalog-trk-0076","NOISY SILENCE","[]","Alik Tarraf","[""https://aliktarraf.com/#alik-tarraf""]","QZZ7K2569335","PT5M55.84S","355840","https://aliktarraf.com/#catalog-sng-031-digital-release","NOISY SILENCE","Alik Tarraf","199732298424","2025-08-24","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/noisy-silence/1835438195?i=1835438196""]"
"https://aliktarraf.com/#catalog-trk-0077","ШУМНАЯ ТИШИНА","[""Silence (ШУМНАЯ ТИШИНА)""]","Alik Tarraf","[""https://aliktarraf.com/#alik-tarraf""]","QZZ7K2560887","PT5M8.04S","308040","https://aliktarraf.com/#catalog-sng-032-digital-release","ШУМНАЯ ТИШИНА","Alik Tarraf","199732340871","2025-08-24","Published","1","TARRAF PRODUCTIONS","","[""https://music.apple.com/ua/album/silence-%D1%88%D1%83%D0%BC%D0%BD%D0%B0%D1%8F-%D1%82%D0%B8%D1%88%D0%B8%D0%BD%D0%B0/1835394770?i=1835394892""]"
